Date,Open,High,Low,Close,Adj Close,Volume
1994-01-01,24.469999,25.129999,23.280001,23.559999,10.148803,0
1994-02-01,24.150000,24.150000,21.959999,22.660000,9.761112,0
1994-03-01,22.500000,23.660000,21.940001,23.209999,9.998035,0
1994-04-01,22.600000,22.680000,20.379999,21.250000,9.153737,0
1994-05-01,21.100000,22.600000,20.750000,22.170000,9.550042,0
1994-06-01,21.879999,22.030001,21.000000,21.080000,9.080507,0
1994-07-01,21.080000,21.080000,20.440001,20.770000,8.946975,0
1994-08-01,20.709999,21.750000,20.209999,21.750000,9.369121,0
1994-09-01,21.879999,23.969999,21.879999,23.650000,10.187573,0
1994-10-01,23.459999,23.459999,21.940001,21.940001,9.450968,0
1994-11-01,21.940001,21.940001,19.340000,19.340000,8.330978,0
1994-12-01,19.180000,19.910000,18.730000,19.910000,8.576512,0
1995-01-01,19.330000,19.570000,17.830000,17.830000,7.680527,0
1995-02-01,17.940001,18.590000,17.830000,18.440001,7.943291,0
1995-03-01,17.950001,21.270000,17.950001,21.270000,9.162355,0
1995-04-01,21.280001,21.889999,20.860001,21.190001,9.127892,0
1995-05-01,21.360001,21.730000,20.450001,21.629999,9.317429,0
1995-06-01,21.709999,23.080000,21.309999,21.930000,9.446657,0
1995-07-01,21.840000,23.600000,21.840000,22.520000,9.700810,0
1995-08-01,22.830000,23.469999,22.570000,22.570000,9.722346,0
1995-09-01,22.389999,23.430000,22.340000,22.559999,9.718040,0
1995-10-01,22.370001,22.370001,19.580000,19.840000,8.546360,0
1995-11-01,19.799999,21.940001,19.799999,21.680000,9.338969,0
1995-12-01,21.610001,22.450001,21.610001,22.139999,9.537119,0
1996-01-01,22.889999,26.100000,22.889999,26.070000,11.230023,0
1996-02-01,27.150000,27.959999,26.459999,27.110001,11.678018,0
1996-03-01,27.139999,28.430000,26.450001,27.760000,11.958014,0
1996-04-01,27.680000,28.450001,27.440001,28.420000,12.242320,0
1996-05-01,28.610001,31.520000,28.450001,31.520000,13.577686,0
1996-06-01,31.240000,31.240000,27.030001,27.070000,11.660784,0
1996-07-01,27.250000,27.660000,25.990000,26.570000,11.445405,0
1996-08-01,26.950001,29.570000,26.950001,29.280001,12.612774,0
1996-09-01,29.389999,29.549999,28.740000,28.740000,12.380160,0
1996-10-01,28.959999,29.150000,27.639999,27.950001,12.039858,0
1996-11-01,27.799999,29.490000,26.750000,26.750000,11.522941,0
1996-12-01,25.830000,26.740000,25.240000,26.040001,11.217099,0
1997-01-01,25.660000,26.129999,24.160000,24.930000,10.948287,0
1997-02-01,25.139999,28.190001,24.650000,28.190001,12.379955,0
1997-03-01,27.770000,27.770000,23.730000,23.730000,10.421294,0
1997-04-01,23.840000,23.950001,20.690001,21.090000,9.261909,0
1997-05-01,21.160000,22.850000,21.160000,22.299999,10.353033,0
1997-06-01,22.150000,22.170000,20.309999,20.389999,9.466292,0
1997-07-01,20.520000,20.520000,18.270000,20.070000,9.317731,0
1997-08-01,20.170000,20.879999,19.870001,20.260000,9.405941,0
1997-09-01,20.240000,21.990000,19.120001,21.990000,10.209115,0
1997-10-01,22.030001,22.070000,17.900000,18.620001,8.644552,0
1997-11-01,18.790001,18.790001,14.230000,14.230000,6.606444,0
